ID;type;length;Replicate;F1;F2;F3;F4;F5;F6;F7;F8;F9;F10;F11;F12;F13;F1415;F1617;F18
sll1858-5UTR(Kopf);feature;60;3;0;0;0;0;0;0;3.5;6;0.5;2;6.5;0.5;1;0.5;0;0
sll1860;feature;786;3;0;0;7.1;0.74;0.24;0.87;3.06;2.81;2.09;5.25;3.33;1.8;1.05;0.14;0.08;0.17
sll1860-as;feature;136;3;0;0;5.07;0.33;0;0;0.8;0.83;0.37;1.9;0.91;0.2;0.5;0.49;0;0
sll1861;feature;765;3;0;0;6.42;0;0;1.5;3;6.33;6.83;9.71;7.68;3.33;6.33;0;0;0
sll1861-5UTR(Kopf);feature;870;3;0;0;7.1;0.74;0.24;0.87;3.06;2.81;2.09;5.29;3.68;1.8;1.05;0.14;0.08;0.17
sll1862;feature;432;3;0;0;1;6;15;30;139.33;68.5;4;13;26.33;17;13;12.5;6;7
sll1862-3UTR(Kopf);feature;34;3;0;0.5;0;0;1;1;7.33;2.5;0;0;0.83;1;0.5;0.5;0;0
sll1863;feature;324;3;0;0;1;0;0;4;56;13.5;8;3;6;7.5;14.5;7;3;1.5
sll1863-3UTR(Kopf);feature;109;3;0;0;0;0;0;0;7;3;0.5;1;2;1.5;2;3;0;0.5
sll1863-5UTR(Kopf);feature;133;3;0;1.5;0;0;2;3;11.33;6.5;1.5;0;4.83;1;1.5;0;0;0
sll1864;feature;2700;3;0;0;10;3;5;18;81;40;14;28;31;32;19;11;5;1
sll1864-as2;feature;92;3;0;0;0;0;0;0;0;4;1;2;1;1;1;0;0;1
sll1865;feature;1008;3;0.5;0;5;2;1;2;18;15;3;15;4;2;5;2;2;1
sll1866;feature;600;3;0;0;0;0;0;0;14;2.5;0;5.5;5;2;1;0;1;0
sll1867;feature;1083;3;17.5;16;544.25;700.25;1997.25;4284.75;30903;24962.5;3570.5;5143.75;3965.5;2056;1825;743.25;159;54.5
sll1867-3UTR(Kopf);feature;69;3;0.5;1;12.25;11.75;69.75;163.25;815.25;492;82.5;67.5;60;46.5;53.5;17.25;6;2
sll1867-5UTR(Kopf);feature;100;3;0;0;0.5;1;6.5;8.5;124.25;76;10;10.25;12.5;9.5;14;3;0.5;0.5
sll1867-as;feature;74;3;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0
sll1868;feature;1908;3;1;0;2;2;2;4;8;7;6;5;7;2;6;4;2;0.33
sll1869;feature;1074;3;0;0;4;0;0;1;21.5;9;2;8;8.5;5;6;3;1;0.5
sll1869-5UTR(Kopf);feature;104;3;0;0;0;0;0;1;1.5;0;0;0;0.5;0;5;1;0;1.5
sll1870;feature;681;3;0;0;0;0;0;0;0;1;3;8;2;1;2;1;0;0
sll1871;feature;2025;3;0;0;1;0;0;2;20;15;10.5;26;13.5;2;7.5;1;0;0
sll1871-5UTR(Kopf);feature;159;3;0;0;0;0;0;0;3;1;2.5;2;3.5;2;0.5;0;0;0
sll1872;feature;1392;3;0;0;2;0;3;8.5;19.33;6;6;10;7;8;12.33;3.5;1;2
sll1872-3UTR(Kopf);feature;37;3;0;0;0;0;0;0;0.83;0;0;0.33;0;0;1.33;0;0;0
sll1872-5UTR(Kopf);feature;93;3;0;0;0;0;0;0.5;0;0;0;0;0;0;1;0.5;0;0
sll1873;feature;366;3;0;0;0;0;5;14;125;69.5;6.5;9.33;16;17;12;2;0;0
sll1873-3UTR(Kopf);feature;202;3;0;0;0;0;4;5;86;39.5;4;10.5;9;3;5;0;0;0
sll1873-5UTR(Kopf);feature;61;3;0;0;0;0;0;0;0.83;0;0.5;0.83;1;0;0.33;0;0;0
sll1874;feature;1077;3;0;0;1;2;2;0;11;6;7;6;5;5;0;2;0;0
sll1874-as;feature;144;3;0;0;0;0;0;0;0;0;0;2;0;1;2;0;0;0
sll1875;feature;753;3;0;0;3;2;0;4;9;2;4;3;2;0;2;0;0;0
sll1876;feature;1401;3;0;0;0;0;0;0;4;4;2;9;5;0;2;0;2.33;0
sll1878;feature;1107;3;0;2;0;1;1;8.5;79.5;63.5;4;10;15;3;7.5;5;2;0
sll1878-3UTR(Kopf);feature;66;3;0;0;0;0;0;0;2.17;2;0;0;1;0;0;0;0;0
sll1878-5UTR(Kopf);feature;130;3;0;0;0;0;0;3.5;10;3.5;0;3;7;0;4.5;7;0;0
sll1878-as;feature;77;3;0;0;0;0;0;0;2;2;0;4;0;1;1;0;0;0
sll1879;feature;1689;3;0;0;4;0;2;14;43.42;21.5;8;12;21;2;10;8;0;1.5
sll1879-5UTR(Kopf);feature;21;3;0;0;0;0;0;0;2.17;1.5;0;0;0;0;0;0;0;0.5
sll1879-as;feature;38;3;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0
sll1880;feature;444;3;0;0;0;0;0;1;12;8;0.5;3;1;3;0;2;0;0
sll1880-3UTR(Kopf);feature;289;3;0;0;0;0;0;2;5;4.5;0;4.5;0;1;0;0;0;0
sll1880-5UTR(Kopf);feature;79;3;0;0;0;0;0;0;0;0.5;1.5;0.5;0;0;0;0;0;0
sll1882;feature;525;3;0;0;0.5;0;2;7.5;108.5;60.5;9;12;20.5;14.5;9.5;3.5;5.5;1.5
sll1882-3UTR(Kopf);feature;96;3;0;0;0;0;0;0.83;4.33;1.33;1.17;1.17;0;2.83;0.33;0.33;0;0.5
sll1882-5UTR(Kopf);feature;329;3;0;0;1.5;1;6;23.5;212.5;152.5;46;33.5;31.5;15;15.5;5.5;8.5;0
sll1883;feature;1242;3;0;0;2;0;8.25;15.33;129.67;74.42;29.67;39.33;46.5;24.17;25.83;38.33;8.5;0
sll1883-3UTR(Kopf);feature;31;3;0;0.5;0;0;0.58;0;3.33;2.42;0;3.67;2.83;0.67;0.5;0;0.5;0
